"Team","Points","Goals","Conc","Shots","ShotsTarg","Fouls","Corn","Division"
"Augsburg",52,47,47,512,159,518,197,"bundes"
"Bayern Munich",90,94,23,630,258,407,242,"bundes"
"Braunschweig",25,29,60,412,119,553,145,"bundes"
"Dortmund",71,80,38,614,242,464,199,"bundes"
"Ein Frankfurt",36,40,57,431,154,556,203,"bundes"
"Freiburg",36,43,61,370,130,513,135,"bundes"
"Hamburg",27,51,75,500,205,537,180,"bundes"
"Hannover",42,46,59,469,164,591,171,"bundes"
"Hertha",41,40,48,383,150,552,167,"bundes"
"Hoffenheim",44,72,70,496,196,658,144,"bundes"
"Leverkusen",61,60,41,494,185,510,201,"bundes"
"Mainz",53,52,54,441,163,494,135,"bundes"
"M'gladbach",55,59,43,430,169,361,153,"bundes"
"Nurnberg",26,37,70,389,142,524,155,"bundes"
"Schalke 04",64,63,43,474,182,556,152,"bundes"
"Stuttgart",32,49,62,401,139,507,152,"bundes"
"Werder Bremen",39,42,66,367,132,551,164,"bundes"
"Wolfsburg",60,63,50,523,200,550,167,"bundes"
"Almeria",40,43,71,397,146,562,185,"liga"
"Ath Bilbao",70,66,39,510,189,486,222,"liga"
"Ath Madrid",90,77,26,503,202,526,260,"liga"
"Barcelona",87,100,33,643,266,426,269,"liga"
"Betis",25,36,78,501,162,543,224,"liga"
"Celta",49,49,54,494,171,516,199,"liga"
"Elche",40,30,50,403,125,534,195,"liga"
"Espanol",42,41,51,415,136,611,196,"liga"
"Getafe",42,35,54,429,133,580,210,"liga"
"Granada",41,32,56,432,129,543,200,"liga"
"Levante",48,35,43,364,125,649,144,"liga"
"Malaga",45,39,46,473,156,567,198,"liga"
"Osasuna",39,32,62,433,134,493,187,"liga"
"Real Madrid",87,104,38,743,301,450,256,"liga"
"Sevilla",63,69,52,499,163,572,219,"liga"
"Sociedad",59,62,55,503,191,456,209,"liga"
"Valencia",49,51,53,524,176,492,235,"liga"
"Valladolid",36,38,60,373,126,525,199,"liga"
"Vallecano",43,46,80,537,176,543,211,"liga"
"Villarreal",59,60,44,436,160,528,218,"liga"
"Ajaccio",23,37,72,352,116,620,121,"ligue"
"Bastia",46,42,58,398,138,514,165,"ligue"
"Bordeaux",53,49,43,452,169,502,190,"ligue"
"Evian Thonon Gaillard",44,39,51,406,138,530,148,"ligue"
"Guingamp",42,34,42,439,139,554,192,"ligue"
"Lille",71,46,26,497,180,531,207,"ligue"
"Lorient",49,48,53,439,155,448,191,"ligue"
"Lyon",61,56,44,490,178,555,207,"ligue"
"Marseille",60,53,40,524,192,530,207,"ligue"
"Monaco",80,63,31,530,188,538,223,"ligue"
"Montpellier",42,45,53,439,144,481,175,"ligue"
"Nantes",49,40,43,407,132,536,180,"ligue"
"Nice",42,30,44,364,118,505,170,"ligue"
"Paris SG",89,84,23,593,234,450,218,"ligue"
"Reims",48,44,52,435,141,532,154,"ligue"
"Rennes",46,47,45,393,147,442,154,"ligue"
"Sochaux",40,37,61,429,145,567,182,"ligue"
"St Etienne",69,56,34,490,177,546,171,"ligue"
"Toulouse",49,46,53,438,167,518,171,"ligue"
"Valenciennes",29,37,65,417,141,543,232,"ligue"
"Arsenal",79,68,41,524,210,348,211,"premier"
"Aston Villa",38,39,61,430,134,484,163,"premier"
"Cardiff",30,32,74,419,126,342,196,"premier"
"Chelsea",82,71,27,693,228,420,249,"premier"
"Crystal Palace",45,33,48,414,143,404,172,"premier"
"Everton",72,61,39,560,195,365,251,"premier"
"Fulham",32,40,85,431,149,383,194,"premier"
"Hull",37,38,53,425,129,421,160,"premier"
"Liverpool",84,101,50,650,259,410,224,"premier"
"Man City",86,102,37,673,238,394,283,"premier"
"Man United",64,64,43,525,181,399,216,"premier"
"Newcastle",49,43,59,579,184,412,190,"premier"
"Norwich",33,28,62,464,146,424,197,"premier"
"Southampton",56,54,46,531,177,443,211,"premier"
"Stoke",50,45,52,425,139,485,164,"premier"
"Sunderland",38,41,60,490,137,444,188,"premier"
"Swansea",42,54,54,494,163,373,223,"premier"
"Tottenham",69,55,51,584,189,403,230,"premier"
"West Brom",36,43,59,485,145,426,187,"premier"
"West Ham",40,40,51,418,119,402,184,"premier"
"Atalanta",50,43,51,447,154,525,190,"seriea"
"Bologna",29,28,58,496,158,595,173,"seriea"
"Cagliari",39,34,53,468,132,580,171,"seriea"
"Catania",32,34,66,484,146,641,179,"seriea"
"Chievo",36,34,54,413,135,629,190,"seriea"
"Fiorentina",65,65,44,574,172,463,212,"seriea"
"Genoa",44,41,50,375,135,605,180,"seriea"
"Inter",60,62,39,546,185,503,230,"seriea"
"Juventus",102,80,23,602,222,566,220,"seriea"
"Lazio",56,54,54,539,182,599,193,"seriea"
"Livorno",25,39,77,483,142,574,180,"seriea"
"Milan",57,57,49,620,204,570,223,"seriea"
"Napoli",78,77,39,577,226,473,185,"seriea"
"Parma",58,58,46,494,160,616,195,"seriea"
"Roma",85,72,25,592,216,487,213,"seriea"
"Sampdoria",45,48,62,521,175,660,173,"seriea"
"Sassuolo",34,43,72,492,163,632,199,"seriea"
"Torino",57,58,48,503,173,483,222,"seriea"
"Udinese",44,46,57,482,159,519,201,"seriea"
"Verona",54,62,68,459,163,504,187,"seriea"
